Method,Iterations,Spectral Radius,Sparse Time,Compressed Time
Jacobi,8.4,0.17533,0.00925,0.00832
GS,5.8,0.02859,0.01932,0.00634
SGS,4.0,0.00166,0.01924,0.00633
