Method,Iterations,Spectral Radius,Sparse Time,Compressed Time
Jacobi,10.6,0.24844,0.00721,0.00555
GS,6.4,0.05474,0.01249,0.00371
SGS,5.2,0.00517,0.01375,0.00426
