Method,Iterations,Spectral Radius,Sparse Time,Compressed Time
Jacobi,10.6,0.25563,0.00273,0.00117
GS,6.4,0.05553,0.00269,0.00061
SGS,5.8,0.00553,0.0036,0.00097
