Method,Iterations,Spectral Radius,G Norm,Time to Converge
Jacobi,19.6,0.44381882501569925,1.0393492741038726,0.0003251552581787109
GS,5.8,0.018518518518518517,0.37702357539819137,0.00020799636840820312
SGS,5.0,0.009773662551440333,0.0457834984793737,0.00034942626953125
