Method,Iterations,Sparse Time,Compressed Time
Jacobi,8.6,0.00015120506286621095,0.008785676956176759
GS,6.0,0.01296238899230957,0.006314277648925781
SGS,5.0,0.02130470275878906,0.009290599822998047
