Method,Iterations,Sparse Time,Compressed Time
Jacobi,7.4,0.000222015380859375,0.0005189895629882813
GS,5.0,0.00045709609985351564,0.0003525257110595703
SGS,4.0,0.000489044189453125,0.0003302574157714844
