Matrix,Iterations,Spectral Radius,G Norm
0,1000,4.728351310533319,5.792865583341864
1,13,0.2500000000000001,2.280655363900668
2,1000,1.1111111111111107,2.749745172462253
3,6,0.018518518518518517,0.37702357539819137
4,55,0.7745966692414833,2.576337081032302
5,54,0.7666666666666666,0.8881941729649485
6,78,0.85,0.9407443861113389
7,11,0.21338834764831813,0.6322358912927825
8,72,0.853553390593274,1.4043607100407822
