Method,Iterations,Spectral Radius,Sparse Time,Compressed Time
Jacobi,7.0,0.09221,0.00119,0.00039
GS,5.0,0.00626,0.00108,0.00027
SGS,4.0,0.00068,0.00115,0.0003
