Iteration,x_k,f(x_k)
1,1.75,0.0625
2,2.125,0.01562
3,1.9375,0.00391
4,2.03125,0.00098
5,1.98438,0.00024
6,2.00781,6e-05
7,1.99609,2e-05
8,2.00195,0.0
9,1.99902,0.0
