Iteration,x_k,f(x_k)
1,2.99937,149.85552
2,2.99874,149.71098
3,2.99811,149.56638
4,2.99748,149.42171
5,2.99685,149.27699
6,2.99622,149.1322
7,2.99559,148.98734
8,2.99496,148.84243
9,2.99432,148.69745
10,2.99369,148.55241
11,2.99306,148.40731
12,2.99242,148.26215
13,2.99179,148.11692
14,2.99115,147.97162
15,2.99051,147.82627
16,2.98988,147.68085
17,2.98924,147.53537
18,2.9886,147.38982
19,2.98796,147.24421
20,2.98732,147.09854
21,2.98668,146.9528
22,2.98604,146.807
23,2.9854,146.66113
24,2.98476,146.5152
25,2.98412,146.3692
26,2.98347,146.22314
27,2.98283,146.07702
28,2.98218,145.93083
29,2.98154,145.78457
30,2.98089,145.63825
31,2.98025,145.49186
32,2.9796,145.34541
33,2.97895,145.19889
34,2.9783,145.05231
35,2.97766,144.90566
36,2.97701,144.75894
37,2.97636,144.61216
38,2.97571,144.46531
39,2.97505,144.31839
40,2.9744,144.17141
41,2.97375,144.02436
42,2.9731,143.87725
43,2.97244,143.73006
44,2.97179,143.58281
45,2.97113,143.4355
46,2.97048,143.28811
47,2.96982,143.14066
48,2.96916,142.99314
49,2.96851,142.84555
50,2.96785,142.69789
51,2.96719,142.55017
52,2.96653,142.40237
53,2.96587,142.25451
54,2.96521,142.10658
55,2.96455,141.95858
56,2.96389,141.81051
57,2.96322,141.66238
58,2.96256,141.51417
59,2.96189,141.36589
60,2.96123,141.21755
61,2.96056,141.06913
62,2.9599,140.92065
63,2.95923,140.77209
64,2.95856,140.62347
65,2.9579,140.47477
66,2.95723,140.32601
67,2.95656,140.17717
68,2.95589,140.02826
69,2.95522,139.87929
70,2.95454,139.73024
71,2.95387,139.58112
72,2.9532,139.43193
73,2.95253,139.28266
74,2.95185,139.13333
75,2.95118,138.98392
76,2.9505,138.83444
77,2.94982,138.68489
78,2.94915,138.53527
79,2.94847,138.38557
80,2.94779,138.2358
81,2.94711,138.08596
82,2.94643,137.93605
83,2.94575,137.78606
84,2.94507,137.636
85,2.94439,137.48587
86,2.94371,137.33566
87,2.94302,137.18538
88,2.94234,137.03503
89,2.94165,136.8846
90,2.94097,136.73409
91,2.94028,136.58351
92,2.93959,136.43286
93,2.93891,136.28214
94,2.93822,136.13133
95,2.93753,135.98046
96,2.93684,135.8295
97,2.93615,135.67848
98,2.93546,135.52737
99,2.93477,135.37619
100,2.93407,135.22494
101,2.93338,135.07361
102,2.93268,134.9222
103,2.93199,134.77072
104,2.93129,134.61916
105,2.9306,134.46752
106,2.9299,134.3158
107,2.9292,134.16401
108,2.9285,134.01214
109,2.9278,133.8602
110,2.9271,133.70817
111,2.9264,133.55607
112,2.9257,133.40389
113,2.925,133.25163
114,2.92429,133.09929
115,2.92359,132.94688
116,2.92289,132.79438
117,2.92218,132.64181
118,2.92147,132.48916
119,2.92077,132.33643
120,2.92006,132.18361
121,2.91935,132.03072
122,2.91864,131.87775
123,2.91793,131.7247
124,2.91722,131.57157
125,2.91651,131.41836
126,2.9158,131.26506
127,2.91508,131.11169
128,2.91437,130.95824
129,2.91365,130.8047
130,2.91294,130.65108
131,2.91222,130.49738
132,2.9115,130.3436
133,2.91078,130.18974
134,2.91007,130.03579
135,2.90935,129.88177
136,2.90863,129.72766
137,2.9079,129.57346
138,2.90718,129.41919
139,2.90646,129.26483
140,2.90573,129.11038
141,2.90501,128.95586
142,2.90428,128.80125
143,2.90356,128.64655
144,2.90283,128.49177
145,2.9021,128.33691
146,2.90137,128.18196
147,2.90064,128.02693
148,2.89991,127.87181
149,2.89918,127.71661
150,2.89845,127.56132
151,2.89772,127.40594
152,2.89698,127.25048
153,2.89625,127.09494
154,2.89551,126.9393
155,2.89478,126.78358
156,2.89404,126.62778
157,2.8933,126.47188
158,2.89256,126.3159
159,2.89182,126.15983
160,2.89108,126.00368
161,2.89034,125.84743
162,2.8896,125.6911
163,2.88885,125.53468
164,2.88811,125.37817
165,2.88737,125.22157
166,2.88662,125.06488
167,2.88587,124.90811
168,2.88512,124.75124
169,2.88438,124.59428
170,2.88363,124.43724
171,2.88288,124.2801
172,2.88212,124.12287
173,2.88137,123.96556
174,2.88062,123.80815
175,2.87987,123.65065
176,2.87911,123.49306
177,2.87835,123.33538
178,2.8776,123.1776
179,2.87684,123.01973
180,2.87608,122.86178
181,2.87532,122.70372
182,2.87456,122.54558
183,2.8738,122.38734
184,2.87304,122.22901
185,2.87227,122.07059
186,2.87151,121.91207
187,2.87075,121.75346
188,2.86998,121.59475
189,2.86921,121.43595
190,2.86844,121.27705
191,2.86768,121.11806
192,2.86691,120.95897
193,2.86613,120.79979
194,2.86536,120.64051
195,2.86459,120.48114
196,2.86382,120.32167
197,2.86304,120.1621
198,2.86227,120.00243
199,2.86149,119.84267
200,2.86071,119.68281
201,2.85993,119.52286
202,2.85915,119.3628
203,2.85837,119.20265
204,2.85759,119.0424
205,2.85681,118.88205
206,2.85603,118.7216
207,2.85524,118.56105
208,2.85446,118.4004
209,2.85367,118.23965
210,2.85288,118.0788
211,2.85209,117.91785
212,2.8513,117.7568
213,2.85051,117.59565
214,2.84972,117.4344
215,2.84893,117.27304
216,2.84813,117.11159
217,2.84734,116.95003
218,2.84654,116.78837
219,2.84575,116.6266
220,2.84495,116.46474
221,2.84415,116.30277
222,2.84335,116.14069
223,2.84255,115.97852
224,2.84175,115.81623
225,2.84094,115.65385
226,2.84014,115.49136
227,2.83933,115.32876
228,2.83853,115.16606
229,2.83772,115.00325
230,2.83691,114.84034
231,2.8361,114.67732
232,2.83529,114.51419
233,2.83448,114.35095
234,2.83367,114.18761
235,2.83285,114.02416
236,2.83204,113.86061
237,2.83122,113.69694
238,2.83041,113.53317
239,2.82959,113.36928
240,2.82877,113.20529
241,2.82795,113.04119
242,2.82713,112.87698
243,2.8263,112.71266
244,2.82548,112.54822
245,2.82465,112.38368
246,2.82383,112.21903
247,2.823,112.05426
248,2.82217,111.88938
249,2.82134,111.72439
250,2.82051,111.55929
251,2.81968,111.39407
252,2.81885,111.22874
253,2.81801,111.0633
254,2.81718,110.89774
255,2.81634,110.73207
256,2.8155,110.56628
257,2.81466,110.40038
258,2.81382,110.23436
259,2.81298,110.06823
260,2.81214,109.90198
261,2.8113,109.73562
262,2.81045,109.56913
263,2.8096,109.40253
264,2.80876,109.23582
265,2.80791,109.06898
266,2.80706,108.90203
267,2.80621,108.73496
268,2.80536,108.56777
