Iteration,x_k,f(x_k)
1,1.35028,2.19519
2,0.91728,0.65019
3,0.62883,0.19249
4,0.43685,0.05693
5,0.30934,0.01679
6,0.22506,0.00493
7,0.16997,0.00143
8,0.1349,0.0004
9,0.114,0.0001
10,0.10356,2e-05
11,0.10033,0.0
12,0.1,0.0
