Iteration,x_k,f(x_k)
1,2.99763,74.72744
2,2.99525,74.45448
3,2.99286,74.18113
4,2.99046,73.90737
5,2.98806,73.6332
6,2.98565,73.35863
7,2.98323,73.08365
8,2.9808,72.80825
9,2.97836,72.53244
10,2.97591,72.25621
11,2.97346,71.97955
12,2.971,71.70247
13,2.96853,71.42497
14,2.96605,71.14703
15,2.96356,70.86865
16,2.96106,70.58984
17,2.95855,70.31059
18,2.95604,70.03089
19,2.95351,69.75074
20,2.95098,69.47014
21,2.94844,69.18909
22,2.94588,68.90758
23,2.94332,68.62561
24,2.94075,68.34318
25,2.93817,68.06027
26,2.93558,67.7769
27,2.93298,67.49304
28,2.93037,67.20871
29,2.92775,66.9239
30,2.92512,66.63859
31,2.92248,66.3528
32,2.91982,66.06651
33,2.91716,65.77973
34,2.91449,65.49243
35,2.91181,65.20464
36,2.90912,64.91633
37,2.90641,64.6275
38,2.9037,64.33816
39,2.90097,64.04829
40,2.89824,63.75789
41,2.89549,63.46696
42,2.89273,63.17549
43,2.88996,62.88348
44,2.88718,62.59092
45,2.88438,62.29781
46,2.88158,62.00415
47,2.87876,61.70992
48,2.87593,61.41512
49,2.87309,61.11976
50,2.87023,60.82381
51,2.86737,60.52729
52,2.86449,60.23018
53,2.8616,59.93247
54,2.85869,59.63417
55,2.85578,59.33526
56,2.85285,59.03574
57,2.8499,58.73561
58,2.84694,58.43486
59,2.84397,58.13348
60,2.84099,57.83147
61,2.83799,57.52881
62,2.83498,57.22552
63,2.83195,56.92157
64,2.82891,56.61696
65,2.82586,56.31168
66,2.82279,56.00574
67,2.8197,55.69912
68,2.8166,55.39181
69,2.81349,55.08381
70,2.81035,54.7751
71,2.80721,54.4657
72,2.80405,54.15557
73,2.80087,53.84473
74,2.79767,53.53315
75,2.79446,53.22084
76,2.79124,52.90778
77,2.78799,52.59397
78,2.78473,52.27939
79,2.78145,51.96405
80,2.77816,51.64792
81,2.77484,51.33101
82,2.77151,51.01329
83,2.76816,50.69477
84,2.76479,50.37544
85,2.7614,50.05528
86,2.758,49.73428
87,2.75457,49.41244
88,2.75113,49.08974
89,2.74766,48.76618
90,2.74418,48.44173
91,2.74067,48.1164
92,2.73715,47.79017
93,2.7336,47.46304
94,2.73003,47.13497
95,2.72644,46.80598
96,2.72283,46.47604
97,2.7192,46.14514
98,2.71554,45.81327
99,2.71186,45.48041
100,2.70816,45.14656
101,2.70443,44.81169
102,2.70068,44.4758
103,2.69691,44.13888
104,2.69311,43.80089
105,2.68928,43.46184
106,2.68543,43.1217
107,2.68155,42.78047
108,2.67765,42.43811
109,2.67372,42.09463
110,2.66976,41.74999
111,2.66577,41.40419
112,2.66176,41.0572
113,2.65772,40.709
114,2.65364,40.35958
115,2.64954,40.00893
116,2.64541,39.657
117,2.64124,39.3038
118,2.63705,38.94929
119,2.63282,38.59346
120,2.62855,38.23627
121,2.62426,37.87772
122,2.61993,37.51777
123,2.61556,37.15641
124,2.61116,36.79359
125,2.60673,36.42931
126,2.60225,36.06353
127,2.59774,35.69623
128,2.59319,35.32737
129,2.5886,34.95693
130,2.58397,34.58487
131,2.57929,34.21117
132,2.57458,33.83579
133,2.56982,33.45871
134,2.56502,33.07987
135,2.56017,32.69926
136,2.55527,32.31682
137,2.55033,31.93253
138,2.54534,31.54634
139,2.5403,31.15821
140,2.53521,30.7681
141,2.53006,30.37595
142,2.52486,29.98174
143,2.51961,29.5854
144,2.51429,29.18688
145,2.50892,28.78615
146,2.50349,28.38312
147,2.498,27.97776
148,2.49245,27.57001
149,2.48682,27.15979
150,2.48114,26.74704
151,2.47538,26.33171
152,2.46955,25.9137
153,2.46364,25.49296
154,2.45766,25.0694
155,2.4516,24.64293
156,2.44546,24.21348
157,2.43924,23.78096
158,2.43292,23.34526
159,2.42652,22.90628
160,2.42002,22.46393
161,2.41343,22.01808
162,2.40673,21.56862
163,2.39993,21.11543
164,2.39302,20.65836
165,2.386,20.19729
166,2.37886,19.73205
167,2.37159,19.2625
168,2.36419,18.78846
169,2.35666,18.30974
170,2.34899,17.82617
171,2.34117,17.33752
172,2.3332,16.84359
173,2.32506,16.34412
174,2.31675,15.83887
175,2.30826,15.32755
176,2.29958,14.80988
177,2.29069,14.28553
178,2.28159,13.75416
179,2.27227,13.21538
180,2.2627,12.6688
181,2.25287,12.11397
182,2.24277,11.55041
183,2.23237,10.9776
184,2.22166,10.39498
185,2.21061,9.80194
186,2.1992,9.19783
187,2.18739,8.58195
188,2.17516,7.9536
189,2.16247,7.31206
190,2.14929,6.65663
191,2.13557,5.98678
192,2.1213,5.30225
193,2.10644,4.60337
194,2.09099,3.89163
195,2.075,3.17071
196,2.05861,2.44863
197,2.0422,1.7417
198,2.02652,1.08191
199,2.01305,0.52719
200,2.00398,0.15955
201,2.00044,0.01777
202,2.00001,0.00024
203,2.0,0.0
