Iteration,x_k,f(x_k)
1,2.25,0.0625
2,2.125,0.01562
3,2.0625,0.00391
4,2.03125,0.00098
5,2.01562,0.00024
6,2.00781,6e-05
7,2.00391,2e-05
8,2.00195,0.0
9,2.00098,0.0
